Doctor_Name,Speciality,Clinic_Name,Clinic_Address,Clinic_City,Clinic_State,Clinic_Pincode,Doctor_Address,Doctor_City,Doctor_State,Doctor_Pincode
Dr. Arvind Balakrishnan,Orthopedic Surgeon,Balakrishnan Healthcare Clinic,"36, Nagar Model, Hyderabad",Hyderabad,Telangana,506615,"62, Layout Garden, Hyderabad",Hyderabad,Telangana,509740
Dr. Meena Mishra,Rheumatologist,Mishra Healthcare Clinic,"162, Road Model, Kochi",Kochi,Kerala,685147,"123, Road Fort, Kochi",Kochi,Kerala,682144
Dr. Sana Mirza,Orthopedic Surgeon,Mirza Healthcare Clinic,"235, Nagar Gandhi, Delhi",Delhi,Delhi,118808,"110, Road Shastri, Delhi",Delhi,Delhi,115718
Dr. Pooja Pandey,Oncologist,Pandey Healthcare Clinic,"225, Road Garden, Hyderabad",Hyderabad,Telangana,508666,"5, Road Gandhi, Hyderabad",Hyderabad,Telangana,502200
Dr. Farah Shaikh,Plastic Surgeon,Shaikh Healthcare Clinic,"140, Road Garden, Kolkata",Kolkata,West Bengal,703450,"368, Enclave Model, Kolkata",Kolkata,West Bengal,704325
Dr. Mathew Dias,Dermatologist,Dias Healthcare Clinic,"217, Road Rajiv, Bengaluru",Bengaluru,Karnataka,560058,"171, Colony Green, Bengaluru",Bengaluru,Karnataka,562647
Dr. Baljit Dhillon,Plastic Surgeon,Dhillon Healthcare Clinic,"58, Nagar Shastri, Delhi",Delhi,Delhi,118938,"19, Enclave Garden, Delhi",Delhi,Delhi,119052
Dr. Suresh Menon,Dermatologist,Menon Healthcare Clinic,"187, Sector Central, Lucknow",Lucknow,Uttar Pradesh,223441,"350, Layout Gandhi, Lucknow",Lucknow,Uttar Pradesh,225794
Dr. Paul Almeida,Neurologist,Almeida Healthcare Clinic,"84, Colony Fort, Pune",Pune,Maharashtra,410406,"92, Enclave Fort, Pune",Pune,Maharashtra,414065
Dr. Irfan Shaikh,Endocrinologist,Shaikh Healthcare Clinic,"241, Layout Model, Mumbai",Mumbai,Maharashtra,407541,"180, Road Model, Mumbai",Mumbai,Maharashtra,403652
Dr. Pooja Tripathi,ENT Specialist,Tripathi Healthcare Clinic,"36, Road Central, Jaipur",Jaipur,Rajasthan,308346,"205, Enclave Rajiv, Jaipur",Jaipur,Rajasthan,301889
Dr. Irfan Dar,Dentist,Dar Healthcare Clinic,"56, Bazaar Central, Mumbai",Mumbai,Maharashtra,405139,"224, Nagar Fort, Mumbai",Mumbai,Maharashtra,409446
Dr. Lakshmi Iyer,Rheumatologist,Iyer Healthcare Clinic,"267, Layout Central, Delhi",Delhi,Delhi,117066,"36, Enclave Garden, Delhi",Delhi,Delhi,115143
Dr. Vikram Dwivedi,Oncologist,Dwivedi Healthcare Clinic,"168, Bazaar Green, Surat",Surat,Gujarat,399083,"66, Layout Fort, Surat",Surat,Gujarat,396211
Dr. Meena Murthy,Oncologist,Murthy Healthcare Clinic,"281, Sector Green, Patna",Patna,Bihar,804700,"108, Bazaar Garden, Patna",Patna,Bihar,809939
Dr. Sana Chaudhary,Ophthalmologist,Chaudhary Healthcare Clinic,"262, Lane Shastri, Ahmedabad",Ahmedabad,Gujarat,381389,"146, Enclave Gandhi, Ahmedabad",Ahmedabad,Gujarat,383848
Dr. Shabana Qureshi,Neurologist,Qureshi Healthcare Clinic,"24, Layout Lake, Delhi",Delhi,Delhi,111193,"234, Bazaar Garden, Delhi",Delhi,Delhi,113185
Dr. Parminder Dhillon,Psychiatrist,Dhillon Healthcare Clinic,"3, Nagar Fort, Kolkata",Kolkata,West Bengal,703585,"91, Lane Rajiv, Kolkata",Kolkata,West Bengal,709132
Dr. Sneha Subramanian,Neurologist,Subramanian Healthcare Clinic,"272, Enclave Lake, Chandigarh",Chandigarh,Chandigarh,168270,"219, Lane Shastri, Chandigarh",Chandigarh,Chandigarh,167777
Dr. Amrit Sandhu,Dentist,Sandhu Healthcare Clinic,"249, Layout Green, Kochi",Kochi,Kerala,687206,"40, Road Model, Kochi",Kochi,Kerala,684451
Dr. Yusuf Beg,Orthopedic Surgeon,Beg Healthcare Clinic,"78, Layout Fort, Kolkata",Kolkata,West Bengal,702503,"362, Layout Gandhi, Kolkata",Kolkata,West Bengal,706797
Dr. Jaspreet Pannu,Ophthalmologist,Pannu Healthcare Clinic,"32, Layout Fort, Surat",Surat,Gujarat,396381,"464, Sector Garden, Surat",Surat,Gujarat,396232
Dr. Harpreet Brar,Oncologist,Brar Healthcare Clinic,"215, Layout Lake, Patna",Patna,Bihar,803595,"140, Bazaar Lake, Patna",Patna,Bihar,800475
Dr. Jaspreet Dhillon,Gynecologist,Dhillon Healthcare Clinic,"66, Sector Fort, Chandigarh",Chandigarh,Chandigarh,169697,"289, Sector Gandhi, Chandigarh",Chandigarh,Chandigarh,167022
Dr. Deepa Menon,Dermatologist,Menon Healthcare Clinic,"195, Enclave Model, Jaipur",Jaipur,Rajasthan,307449,"168, Enclave Fort, Jaipur",Jaipur,Rajasthan,304558
Dr. Amrit Kaur,Pulmonologist,Kaur Healthcare Clinic,"277, Sector Central, Delhi",Delhi,Delhi,113673,"333, Nagar Rajiv, Delhi",Delhi,Delhi,110508
Dr. Prakash Iyer,Physiotherapist,Iyer Healthcare Clinic,"123, Colony Lake, Kolkata",Kolkata,West Bengal,701874,"289, Layout Lake, Kolkata",Kolkata,West Bengal,704198
Dr. Irfan Dar,Physiotherapist,Dar Healthcare Clinic,"84, Road Gandhi, Chennai",Chennai,Tamil Nadu,609481,"14, Road Garden, Chennai",Chennai,Tamil Nadu,606149
Dr. Simran Kaur,Gastroenterologist,Kaur Healthcare Clinic,"53, Road Garden, Pune",Pune,Maharashtra,411983,"408, Sector Central, Pune",Pune,Maharashtra,418728
Dr. Jaspreet Kaur,Nephrologist,Kaur Healthcare Clinic,"7, Bazaar Lake, Indore",Indore,Madhya Pradesh,451729,"222, Enclave Lake, Indore",Indore,Madhya Pradesh,452506
Dr. Manjit Pannu,Dentist,Pannu Healthcare Clinic,"239, Bazaar Garden, Coimbatore",Coimbatore,Tamil Nadu,644397,"166, Layout Gandhi, Coimbatore",Coimbatore,Tamil Nadu,644569
Dr. Simran Bajwa,Gastroenterologist,Bajwa Healthcare Clinic,"173, Sector Lake, Patna",Patna,Bihar,805325,"94, Lane Model, Patna",Patna,Bihar,805813
Dr. Yusuf Pathan,Physiotherapist,Pathan Healthcare Clinic,"285, Sector Hill, Jaipur",Jaipur,Rajasthan,303130,"44, Layout Fort, Jaipur",Jaipur,Rajasthan,308004
Dr. Francis Menezes,Pulmonologist,Menezes Healthcare Clinic,"9, Nagar Green, Chandigarh",Chandigarh,Chandigarh,163630,"208, Layout Green, Chandigarh",Chandigarh,Chandigarh,169528
Dr. Sana Beg,Nephrologist,Beg Healthcare Clinic,"218, Enclave Central, Bhopal",Bhopal,Madhya Pradesh,467434,"139, Road Green, Bhopal",Bhopal,Madhya Pradesh,463777
Dr. Pooja Pandey,Pediatrician,Pandey Healthcare Clinic,"99, Layout Lake, Hyderabad",Hyderabad,Telangana,504530,"371, Road Gandhi, Hyderabad",Hyderabad,Telangana,503180
Dr. Shabana Mirza,Gynecologist,Mirza Healthcare Clinic,"8, Colony Green, Lucknow",Lucknow,Uttar Pradesh,220745,"499, Sector Hill, Lucknow",Lucknow,Uttar Pradesh,224786
Dr. Deepa Nair,Cardiologist,Nair Healthcare Clinic,"241, Lane Lake, Lucknow",Lucknow,Uttar Pradesh,225582,"95, Sector Green, Lucknow",Lucknow,Uttar Pradesh,227827
Dr. Amit Tripathi,Pulmonologist,Tripathi Healthcare Clinic,"296, Sector Shastri, Bengaluru",Bengaluru,Karnataka,562444,"416, Road Gandhi, Bengaluru",Bengaluru,Karnataka,564066
Dr. Naveen Tripathi,Physiotherapist,Tripathi Healthcare Clinic,"268, Bazaar Lake, Pune",Pune,Maharashtra,417253,"153, Bazaar Green, Pune",Pune,Maharashtra,419316
Dr. Peter Almeida,Pediatrician,Almeida Healthcare Clinic,"109, Road Gandhi, Ahmedabad",Ahmedabad,Gujarat,382573,"123, Colony Hill, Ahmedabad",Ahmedabad,Gujarat,381229
Dr. Arvind Rangan,Ophthalmologist,Rangan Healthcare Clinic,"150, Sector Model, Coimbatore",Coimbatore,Tamil Nadu,644720,"362, Road Lake, Coimbatore",Coimbatore,Tamil Nadu,641166
Dr. Lakshmi Murthy,General Physician,Murthy Healthcare Clinic,"59, Layout Shastri, Surat",Surat,Gujarat,394352,"424, Colony Gandhi, Surat",Surat,Gujarat,390977
Dr. Lakshmi Murthy,Gastroenterologist,Murthy Healthcare Clinic,"225, Nagar Lake, Lucknow",Lucknow,Uttar Pradesh,224982,"359, Bazaar Green, Lucknow",Lucknow,Uttar Pradesh,228199
Dr. Mathew Menezes,Orthopedic Surgeon,Menezes Healthcare Clinic,"222, Enclave Garden, Mumbai",Mumbai,Maharashtra,404102,"14, Nagar Model, Mumbai",Mumbai,Maharashtra,409424
Dr. Peter Dias,Gastroenterologist,Dias Healthcare Clinic,"90, Lane Hill, Mumbai",Mumbai,Maharashtra,407245,"470, Road Shastri, Mumbai",Mumbai,Maharashtra,409590
Dr. Parminder Kaur,Pulmonologist,Kaur Healthcare Clinic,"210, Enclave Central, Bhopal",Bhopal,Madhya Pradesh,461713,"440, Colony Central, Bhopal",Bhopal,Madhya Pradesh,466744
Dr. Amrit Dhillon,Plastic Surgeon,Dhillon Healthcare Clinic,"233, Nagar Central, Mumbai",Mumbai,Maharashtra,404135,"166, Nagar Fort, Mumbai",Mumbai,Maharashtra,408431
Dr. Naveen Chaturvedi,Rheumatologist,Chaturvedi Healthcare Clinic,"97, Enclave Garden, Mumbai",Mumbai,Maharashtra,408167,"321, Lane Rajiv, Mumbai",Mumbai,Maharashtra,403335
Dr. Khalid Ansari,Oncologist,Ansari Healthcare Clinic,"249, Nagar Rajiv, Chandigarh",Chandigarh,Chandigarh,169975,"410, Layout Shastri, Chandigarh",Chandigarh,Chandigarh,165091
Dr. Peter Pereira,Rheumatologist,Pereira Healthcare Clinic,"116, Nagar Lake, Bengaluru",Bengaluru,Karnataka,561924,"332, Colony Lake, Bengaluru",Bengaluru,Karnataka,564781
Dr. Teresa Rodrigues,Pulmonologist,Rodrigues Healthcare Clinic,"125, Lane Hill, Coimbatore",Coimbatore,Tamil Nadu,642369,"197, Layout Garden, Coimbatore",Coimbatore,Tamil Nadu,648327
Dr. Sneha Naidu,Rheumatologist,Naidu Healthcare Clinic,"260, Road Rajiv, Indore",Indore,Madhya Pradesh,454634,"372, Road Garden, Indore",Indore,Madhya Pradesh,459501
Dr. Manjit Bajwa,Plastic Surgeon,Bajwa Healthcare Clinic,"177, Enclave Hill, Coimbatore",Coimbatore,Tamil Nadu,648903,"194, Lane Central, Coimbatore",Coimbatore,Tamil Nadu,643090
Dr. Meena Rangan,Psychiatrist,Rangan Healthcare Clinic,"23, Enclave Lake, Surat",Surat,Gujarat,396246,"198, Colony Lake, Surat",Surat,Gujarat,390606
Dr. Shankar Murthy,ENT Specialist,Murthy Healthcare Clinic,"226, Nagar Hill, Chennai",Chennai,Tamil Nadu,607486,"8, Colony Fort, Chennai",Chennai,Tamil Nadu,602529
Dr. Divya Joshi,ENT Specialist,Joshi Healthcare Clinic,"42, Enclave Hill, Patna",Patna,Bihar,806226,"489, Enclave Lake, Patna",Patna,Bihar,808864
Dr. Meena Mishra,Psychiatrist,Mishra Healthcare Clinic,"117, Nagar Fort, Lucknow",Lucknow,Uttar Pradesh,221612,"390, Nagar Lake, Lucknow",Lucknow,Uttar Pradesh,222725
Dr. Aamir Khan,ENT Specialist,Khan Healthcare Clinic,"151, Enclave Central, Mumbai",Mumbai,Maharashtra,407056,"75, Layout Hill, Mumbai",Mumbai,Maharashtra,406751
Dr. Joseph Gomes,Gynecologist,Gomes Healthcare Clinic,"196, Layout Lake, Bengaluru",Bengaluru,Karnataka,569554,"74, Layout Lake, Bengaluru",Bengaluru,Karnataka,564161
Dr. Amrit Singh,Ophthalmologist,Singh Healthcare Clinic,"280, Colony Gandhi, Lucknow",Lucknow,Uttar Pradesh,227237,"484, Enclave Garden, Lucknow",Lucknow,Uttar Pradesh,224901
Dr. Amrit Bajwa,Oncologist,Bajwa Healthcare Clinic,"197, Lane Gandhi, Ahmedabad",Ahmedabad,Gujarat,383886,"196, Enclave Garden, Ahmedabad",Ahmedabad,Gujarat,384847
Dr. Aamir Syed,Dentist,Syed Healthcare Clinic,"290, Sector Garden, Delhi",Delhi,Delhi,118138,"427, Road Model, Delhi",Delhi,Delhi,119946
Dr. Shabana Qureshi,Physiotherapist,Qureshi Healthcare Clinic,"71, Nagar Rajiv, Jaipur",Jaipur,Rajasthan,305061,"404, Lane Rajiv, Jaipur",Jaipur,Rajasthan,309495
Dr. Irfan Shaikh,Oncologist,Shaikh Healthcare Clinic,"213, Colony Model, Indore",Indore,Madhya Pradesh,452165,"403, Enclave Hill, Indore",Indore,Madhya Pradesh,458221
Dr. Irfan Pathan,Pulmonologist,Pathan Healthcare Clinic,"174, Nagar Lake, Lucknow",Lucknow,Uttar Pradesh,221233,"73, Layout Fort, Lucknow",Lucknow,Uttar Pradesh,229131
Dr. Farah Syed,Cardiologist,Syed Healthcare Clinic,"275, Nagar Lake, Jaipur",Jaipur,Rajasthan,306038,"345, Road Garden, Jaipur",Jaipur,Rajasthan,306242
Dr. Farah Qureshi,Pulmonologist,Qureshi Healthcare Clinic,"288, Enclave Garden, Delhi",Delhi,Delhi,113626,"332, Nagar Lake, Delhi",Delhi,Delhi,114951
Dr. Gurpreet Gill,Dermatologist,Gill Healthcare Clinic,"156, Lane Gandhi, Mumbai",Mumbai,Maharashtra,401592,"121, Colony Fort, Mumbai",Mumbai,Maharashtra,407432
Dr. Khalid Syed,Gastroenterologist,Syed Healthcare Clinic,"213, Nagar Lake, Kolkata",Kolkata,West Bengal,706686,"481, Road Rajiv, Kolkata",Kolkata,West Bengal,706070
Dr. Deepa Subramanian,Psychiatrist,Subramanian Healthcare Clinic,"51, Enclave Hill, Bhopal",Bhopal,Madhya Pradesh,465876,"32, Bazaar Green, Bhopal",Bhopal,Madhya Pradesh,463109
Dr. Divya Mishra,General Physician,Mishra Healthcare Clinic,"26, Enclave Model, Delhi",Delhi,Delhi,112063,"403, Layout Gandhi, Delhi",Delhi,Delhi,119080
Dr. Meena Reddy,Psychiatrist,Reddy Healthcare Clinic,"76, Sector Green, Indore",Indore,Madhya Pradesh,452370,"67, Road Shastri, Indore",Indore,Madhya Pradesh,451801
Dr. Sunita Sharma,Urologist,Sharma Healthcare Clinic,"166, Sector Shastri, Pune",Pune,Maharashtra,414347,"27, Colony Fort, Pune",Pune,Maharashtra,418619
Dr. Amit Chaturvedi,Ophthalmologist,Chaturvedi Healthcare Clinic,"263, Nagar Lake, Bhopal",Bhopal,Madhya Pradesh,468254,"114, Sector Hill, Bhopal",Bhopal,Madhya Pradesh,464941
Dr. Harpreet Singh,Pulmonologist,Singh Healthcare Clinic,"219, Nagar Lake, Patna",Patna,Bihar,807267,"38, Nagar Central, Patna",Patna,Bihar,809966
Dr. Sneha Menon,Dentist,Menon Healthcare Clinic,"196, Road Lake, Indore",Indore,Madhya Pradesh,458282,"310, Bazaar Gandhi, Indore",Indore,Madhya Pradesh,451874
Dr. Francis Rodrigues,Ophthalmologist,Rodrigues Healthcare Clinic,"212, Enclave Lake, Pune",Pune,Maharashtra,416532,"213, Nagar Central, Pune",Pune,Maharashtra,416992
Dr. Nadeem Mirza,Neurologist,Mirza Healthcare Clinic,"35, Nagar Gandhi, Coimbatore",Coimbatore,Tamil Nadu,641527,"222, Nagar Central, Coimbatore",Coimbatore,Tamil Nadu,642131
Dr. Peter Almeida,Plastic Surgeon,Almeida Healthcare Clinic,"63, Bazaar Central, Indore",Indore,Madhya Pradesh,456929,"445, Sector Green, Indore",Indore,Madhya Pradesh,459837
Dr. Yusuf Shaikh,Gastroenterologist,Shaikh Healthcare Clinic,"109, Colony Lake, Kochi",Kochi,Kerala,683674,"434, Nagar Central, Kochi",Kochi,Kerala,689113
Dr. Farah Pathan,Gastroenterologist,Pathan Healthcare Clinic,"220, Sector Garden, Pune",Pune,Maharashtra,414381,"15, Colony Green, Pune",Pune,Maharashtra,415062
Dr. Yusuf Khan,Gynecologist,Khan Healthcare Clinic,"290, Bazaar Gandhi, Kolkata",Kolkata,West Bengal,702324,"380, Sector Gandhi, Kolkata",Kolkata,West Bengal,708691
Dr. Suresh Rangan,Ophthalmologist,Rangan Healthcare Clinic,"81, Enclave Green, Indore",Indore,Madhya Pradesh,455314,"398, Nagar Rajiv, Indore",Indore,Madhya Pradesh,452549
Dr. Meena Iyer,Orthopedic Surgeon,Iyer Healthcare Clinic,"227, Bazaar Lake, Jaipur",Jaipur,Rajasthan,309946,"227, Bazaar Green, Jaipur",Jaipur,Rajasthan,303531
Dr. Mary Lobo,Rheumatologist,Lobo Healthcare Clinic,"146, Lane Hill, Chennai",Chennai,Tamil Nadu,605053,"24, Layout Fort, Chennai",Chennai,Tamil Nadu,609819
Dr. Rajesh Agarwal,Oncologist,Agarwal Healthcare Clinic,"71, Road Green, Ahmedabad",Ahmedabad,Gujarat,385375,"62, Sector Lake, Ahmedabad",Ahmedabad,Gujarat,387055
Dr. Kavita Rangan,Plastic Surgeon,Rangan Healthcare Clinic,"257, Enclave Gandhi, Pune",Pune,Maharashtra,416505,"442, Sector Fort, Pune",Pune,Maharashtra,410307
Dr. Gurpreet Brar,Gastroenterologist,Brar Healthcare Clinic,"294, Bazaar Fort, Surat",Surat,Gujarat,394743,"59, Bazaar Rajiv, Surat",Surat,Gujarat,395321
Dr. Meena Subramanian,Urologist,Subramanian Healthcare Clinic,"224, Nagar Model, Bengaluru",Bengaluru,Karnataka,567138,"302, Bazaar Hill, Bengaluru",Bengaluru,Karnataka,561288
Dr. Amrit Brar,Psychiatrist,Brar Healthcare Clinic,"87, Nagar Hill, Indore",Indore,Madhya Pradesh,451868,"272, Layout Central, Indore",Indore,Madhya Pradesh,455752
Dr. Prakash Nair,Neurologist,Nair Healthcare Clinic,"102, Colony Garden, Jaipur",Jaipur,Rajasthan,302504,"390, Nagar Shastri, Jaipur",Jaipur,Rajasthan,308095
Dr. Rajinder Chahal,Ophthalmologist,Chahal Healthcare Clinic,"162, Colony Lake, Indore",Indore,Madhya Pradesh,451118,"241, Lane Green, Indore",Indore,Madhya Pradesh,454500
Dr. Peter Lobo,Nephrologist,Lobo Healthcare Clinic,"159, Lane Lake, Bengaluru",Bengaluru,Karnataka,560616,"30, Enclave Green, Bengaluru",Bengaluru,Karnataka,561257
Dr. Meena Tiwari,Nephrologist,Tiwari Healthcare Clinic,"237, Sector Lake, Patna",Patna,Bihar,809366,"334, Layout Central, Patna",Patna,Bihar,809912
Dr. Baljit Gill,Dermatologist,Gill Healthcare Clinic,"53, Enclave Gandhi, Chandigarh",Chandigarh,Chandigarh,168266,"331, Colony Rajiv, Chandigarh",Chandigarh,Chandigarh,164059
Dr. Parminder Pannu,Nephrologist,Pannu Healthcare Clinic,"187, Enclave Green, Hyderabad",Hyderabad,Telangana,506347,"210, Enclave Garden, Hyderabad",Hyderabad,Telangana,500857
Dr. Farah Mirza,Pediatrician,Mirza Healthcare Clinic,"146, Road Garden, Patna",Patna,Bihar,802463,"171, Nagar Garden, Patna",Patna,Bihar,802317
Dr. Nadeem Syed,Neurologist,Syed Healthcare Clinic,"159, Bazaar Central, Bengaluru",Bengaluru,Karnataka,562093,"344, Nagar Fort, Bengaluru",Bengaluru,Karnataka,568331
Dr. Aamir Mirza,Oncologist,Mirza Healthcare Clinic,"110, Enclave Lake, Hyderabad",Hyderabad,Telangana,503145,"116, Colony Shastri, Hyderabad",Hyderabad,Telangana,501264
Dr. Farah Beg,Plastic Surgeon,Beg Healthcare Clinic,"20, Enclave Garden, Kochi",Kochi,Kerala,682147,"306, Bazaar Shastri, Kochi",Kochi,Kerala,682658
Dr. Meena Menon,Ophthalmologist,Menon Healthcare Clinic,"211, Enclave Model, Mumbai",Mumbai,Maharashtra,407277,"313, Road Lake, Mumbai",Mumbai,Maharashtra,403833
Dr. Francis Dias,Pulmonologist,Dias Healthcare Clinic,"189, Lane Lake, Ahmedabad",Ahmedabad,Gujarat,384616,"399, Bazaar Hill, Ahmedabad",Ahmedabad,Gujarat,388641
Dr. Manjit Sandhu,Physiotherapist,Sandhu Healthcare Clinic,"129, Sector Lake, Kolkata",Kolkata,West Bengal,706081,"284, Nagar Hill, Kolkata",Kolkata,West Bengal,702042
Dr. Farah Ansari,Dentist,Ansari Healthcare Clinic,"263, Colony Fort, Chandigarh",Chandigarh,Chandigarh,161502,"485, Layout Lake, Chandigarh",Chandigarh,Chandigarh,165727
Dr. Rakesh Sharma,Endocrinologist,Sharma Healthcare Clinic,"192, Layout Fort, Kochi",Kochi,Kerala,681337,"192, Layout Rajiv, Kochi",Kochi,Kerala,685221
Dr. Anjali Saxena,Neurologist,Saxena Healthcare Clinic,"147, Lane Shastri, Mumbai",Mumbai,Maharashtra,407685,"230, Sector Gandhi, Mumbai",Mumbai,Maharashtra,400311
Dr. Shabana Ansari,Plastic Surgeon,Ansari Healthcare Clinic,"217, Nagar Green, Kochi",Kochi,Kerala,683893,"155, Nagar Rajiv, Kochi",Kochi,Kerala,683906
Dr. Rajinder Bajwa,Orthopedic Surgeon,Bajwa Healthcare Clinic,"256, Sector Hill, Chennai",Chennai,Tamil Nadu,609421,"124, Colony Green, Chennai",Chennai,Tamil Nadu,607032
Dr. Meena Pandey,Psychiatrist,Pandey Healthcare Clinic,"96, Nagar Hill, Surat",Surat,Gujarat,395908,"35, Sector Fort, Surat",Surat,Gujarat,397702
Dr. Rakesh Pandey,Dentist,Pandey Healthcare Clinic,"183, Nagar Central, Delhi",Delhi,Delhi,113950,"376, Nagar Garden, Delhi",Delhi,Delhi,115447
Dr. Arvind Pillai,Plastic Surgeon,Pillai Healthcare Clinic,"90, Lane Lake, Indore",Indore,Madhya Pradesh,452986,"416, Colony Gandhi, Indore",Indore,Madhya Pradesh,457498
Dr. Vikram Agarwal,Dermatologist,Agarwal Healthcare Clinic,"22, Enclave Green, Ahmedabad",Ahmedabad,Gujarat,388444,"204, Lane Green, Ahmedabad",Ahmedabad,Gujarat,380599
Dr. Lakshmi Pillai,Dermatologist,Pillai Healthcare Clinic,"140, Nagar Central, Indore",Indore,Madhya Pradesh,457159,"456, Bazaar Lake, Indore",Indore,Madhya Pradesh,456334
Dr. Irfan Chaudhary,Pulmonologist,Chaudhary Healthcare Clinic,"266, Road Gandhi, Bhopal",Bhopal,Madhya Pradesh,466955,"41, Bazaar Garden, Bhopal",Bhopal,Madhya Pradesh,462956
Dr. Teresa Lobo,Pediatrician,Lobo Healthcare Clinic,"168, Road Green, Bengaluru",Bengaluru,Karnataka,567305,"309, Bazaar Shastri, Bengaluru",Bengaluru,Karnataka,567272
Dr. Sana Khan,Urologist,Khan Healthcare Clinic,"141, Sector Gandhi, Surat",Surat,Gujarat,396655,"187, Colony Rajiv, Surat",Surat,Gujarat,392339
Dr. Mathew Fernandes,Neurologist,Fernandes Healthcare Clinic,"121, Enclave Central, Bengaluru",Bengaluru,Karnataka,566272,"487, Sector Garden, Bengaluru",Bengaluru,Karnataka,562513
